code,region,Description,to_AIS98,from_AIS98   ,FCI
10000.1,external,"Hypothermia NFS [primary injury, not treatment-related or sequela]",NONE      ,NONE      ,          
10002.1,external,"Hypothermia [primary injury, not treatment-related or sequela], >34-35 degrees C",NONE      ,NONE      ,          
10004.2,external,"Hypothermia [primary injury, not treatment-related or sequela], 33-32 degrees C",NONE      ,NONE      ,          
10006.3,external,"Hypothermia [primary injury, not treatment-related or sequela], 31-30 degrees C",NONE      ,NONE      ,          
10008.4,external,"Hypothermia [primary injury, not treatment-related or sequela], 29-28 degrees C",NONE      ,NONE      ,          
10010.5,external,"Hypothermia [primary injury, not treatment-related or sequela], <27 degrees C",NONE      ,NONE      ,          
12002.2,external,Whole body (explosion-type) injury NFS,NONE      ,NONE      ,          
12004.2,external,"Whole body injury (explosion-type), minor or superficial to skin, subcutaneous tissue and muscle with or without minor fracture or fractures",NONE      ,NONE      ,          
12006.4,external,"Whole body injury (explosion-type), major or extensive [>25% TBSA] to skin, subcutaneous tissue and muscle with multiple fractures and/or multiple organ injuries",NONE      ,NONE      ,          
12008.6,external,"Whole body injury (explosion-type), massive; multiple organ injury to brain, thorax and/or abdomen with loss of one or more limbs and/or decapitation",NONE      ,NONE      ,          
20000.3,head_neck,Asphyxia/suffocation NFS,NONE      ,NONE      ,          
20002.3,head_neck,"Asphyxia/suffocation, without neurological deficit",NONE      ,NONE      ,          
20004.4,head_neck,"Asphyxia/suffocation, with neurological deficit",NONE      ,NONE      ,          
20006.5,head_neck,"Asphyxia/suffocation, with cardiac arrest documented by medical personnel",NONE      ,NONE      ,          
40099.9,chest,"Caustic agents, injury NFS",NONE      ,NONE      ,          
60000.3,chest,Drowning NFS,NONE      ,NONE      ,          
60002.3,chest,"Drowning, near drowning, no neurological deficit",NONE      ,NONE      ,          
60004.4,chest,"Drowning, near drowning with neurological deficit",NONE      ,NONE      ,          
60006.5,chest,"Drowning, with cardiac arrest documented by medical personnel",NONE      ,NONE      ,          
80000.2,external,Electrical injury NFS,919400.2,919400.2,          
80002.3,external,"Electrical injury, with muscle necrosis",919402.3,919402.3,          
80004.5,external,"Electrical injury, with cardiac arrest documented by medical personnel",919404.5,919404.5,          
100099.9,head_neck,Injury to the head NFS,115099.9,115099.9,          
100999.9,head_neck,Died of head injury without further substantiation of injuries or no autopsy confirmation of specific injuries.,115999.9,115999.9,          
110009.1,head_neck,Head injury NFS involving only headache,160402.1,160402.1,5
110099.1,external,Scalp injury NFS,110099.1,110099.1,5
110202.1,external,"Scalp, abrasion",110202.1,110202.1,5
110402.1,external,"Scalp, contusion; subgaleal hematoma if >6 months old",110402.1,110402.1,5
110403.2,external,"Scalp, contusion, subgaleal hematoma in infants <=6 months old",110402.1,NONE      ,5
110404.3,external,"Scalp, contusion, subgaleal hematoma in infants <=6 months old, blood loss >20% by volume in infants <=6 months old",110402.1,NONE      ,5
110600.1,external,"Scalp, laceration NFS",110600.1,110600.1,5
110602.1,external,"Scalp, laceration, minor; superficial",110602.1,110602.1,5
110604.2,external,"Scalp, laceration, major; >10cm long and into subcutaneous tissue",110604.2,110604.2,5
110606.3,external,"Scalp, laceration, blood loss >20% by volume",110606.3,110606.3,5
110800.1,external,"Scalp, avulsion NFS",110800.1,110800.1,5
110802.1,external,"Scalp, avulsion, superficial; minor; tissue loss <=100cm2",110802.1,110802.1,5
110804.2,external,"Scalp, avulsion, major; tissue loss >100cm2",110804.2,110804.2,5
110806.3,external,"Scalp, avulsion, blood loss >20% by volume",110806.3,110806.3,5
110808.3,external,"Scalp, avulsion, total scalp loss",110808.3,110808.3,5
113000.6,head_neck,"Crush injury, head",113000.6,113000.6,1
116000.3,head_neck,"Penetrating injury, skull NFS",116002.3,116002.3,5
