icd_code,ais_code,prob
D004.2,241699,0.0012668
D004.9,856161,5.39828e-05
D005.9,251000,2.27552e-05
D008.42,854455,3.38385e-05
D008.45,545699,0.0231314
D008.8,650417,0.000258472
D009.0,650216,2.71162e-05
D010.01,854500,5.78032e-05
D011.20,450201,2.43711e-05
D011.7,716016,0.00205788
D011.90,140618,0.00369742
D012.86,857271,0.000919719
D015.00,544422,0.000961038
D017.0,110099,0.000343506
D027.2,716023,0.000369
D031.0,250400,9.68533e-05
D031.2,541810,0.00043465
D031.9,630299,0.000799549
D032.85,853151,6.38173e-06
D033.0,140694,2.17918e-05
D034.0,340107,0.00462916
D034.1,772430,0.000375098
D036.0,450209,0.000144179
D037,316002,0.000167715
D038.0,640248,0.00805557
D038.10,122006,0.0042299
D038.11,110403,0.00197964
D038.12,716013,0.00527429
D038.19,415000,0.00145598
D038.2,140478,0.00666863
D038.3,640664,0.00269287
D038.4,140602,8.47514e-05
D038.40,640418,0.00111141
D038.41,877199,0.000608569
D038.42,140698,0.00611075
D038.43,240603,0.00158861
D038.44,858172,0.00428122
D038.49,320213,0.00773208
D038.8,140450,0.0021045
D038.9,440102,0.0136512
D039.8,210602,7.89834e-06
D040.0,720899,0.0044885
D040.1,740402,0.000283948
D041.00,772010,0.00104174
D041.01,713000,0.000598013
D041.02,858273,0.00396907
D041.04,830306,0.0098957
D041.05,710099,0.00139348
D041.09,650412,0.00423915
D041.1,110604,7.32711e-05
D041.10,122006,0.00422988
D041.11,140698,0.00611065
D041.12,640260,0.0117329
D041.19,650410,0.00519212
D041.2,750972,0.00331477
D041.3,421099,0.00714814
D041.41,640648,0.0252343
D041.49,421002,0.0132139
D041.5,821204,0.00348749
D041.6,320410,0.0190121
D041.7,830306,0.00988936
D041.82,541224,0.00085774
D041.83,650622,0.00077657
D041.84,420212,0.00521249
D041.85,877235,0.00810174
D041.86,161003,6.07078e-05
D041.89,770520,0.00231011
D041.9,520404,0.00488215
D042,420404,0.0086904
D045.9,751100,4.7705e-05
D045.90,250607,0.000104103
D046.19,544620,0.00195964
D046.3,752113,9.46769e-05
D047.9,710602,2.13764e-05
D048,161006,0.000197136
D049.9,854331,4.22443e-05
D052.9,415000,0.00145598
D053.10,210602,7.87373e-06
D053.12,541820,0.000162055
D053.19,730899,0.00108028
D053.2,110600,1.42773e-05
D053.29,858153,0.000521497
D053.8,110202,5.7856e-05
D053.9,140649,0.00178421
D054.1,857300,7.72636e-05
D054.10,772089,0.00114952
D054.12,541810,0.000434652
D054.2,716018,0.000530679
D054.3,750500,4.8098e-05
D054.43,813003,0.000346751
